Ankylosaurus_&_Diplodocus_1, EPFL, 40.0167, 0.9428
Bikes, EPFL, 35.2092, 0.9352
Danger_de_Mort, EPFL, 34.2695, 0.9052
Desktop, EPFL, 32.4848, 0.9457
Flowers, EPFL, 34.0181, 0.9070
Fountain_&_Vincent_2, EPFL, 34.5211, 0.9245
Friends_1, EPFL, 34.7397, 0.9195
Magnets_1, EPFL, 39.6553, 0.9528
Stone_Pillars_Outside, EPFL, 34.2120, 0.9282
Vespa, EPFL, 35.1426, 0.9072
Amethyst, STANFORD, 33.9861, 0.8649
Bracelet, STANFORD, 36.2199, 0.9796
Bunny, STANFORD, 36.1794, 0.9244
Chess, STANFORD, 37.6497, 0.9556
Eucalyptus Flowers, STANFORD, 33.5534, 0.8237
Jelly Beens, STANFORD, 43.4394, 0.9817
Lego Bulldozer, STANFORD, 34.5544, 0.9305
Lego Knights, STANFORD, 36.4555, 0.9660
Lego Truck, STANFORD, 36.4133, 0.9292
Treasure, STANFORD, 32.8729, 0.8435
