Bikes, EPFL, 26.4222, 0.8197
Bench_in_Paris, EPFL, 21.7428, 0.7539
Fountain_&_Bench, EPFL, 26.1471, 0.7825
Friends_1, EPFL, 30.1397, 0.8754
Sphynx, EPFL, 26.8946, 0.7366
Bee_2, INRIA, 29.8490, 0.8716
Duck, INRIA, 22.2948, 0.7884
Fruits, INRIA, 27.8170, 0.8215
Rose, INRIA, 33.0522, 0.8691
Mini, INRIA, 26.4003, 0.7206
Chess, STANFORD, 28.9038, 0.8817
Bunny, STANFORD, 31.8037, 0.9075
Lego Bulldozer, STANFORD, 24.9974, 0.8019
Lego Truck, STANFORD, 29.3451, 0.8676
Lego Knights, STANFORD, 26.1332, 0.8118
